number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_fraction,params_layer,params_target_update_interval,state
0,-540.3333129882812,2024-07-27 03:45:33.406648,2024-07-27 04:21:01.447425,0 days 00:35:28.040777,64,500000,0.4929594500998701,32.0,5000,COMPLETE
1,-3193.166748046875,2024-07-27 04:21:01.448422,2024-07-27 04:55:14.918871,0 days 00:34:13.470449,64,500000,0.5164681074038905,64.0,10000,COMPLETE
2,-313.8333435058594,2024-07-27 04:55:14.919741,2024-07-27 05:29:50.181815,0 days 00:34:35.262074,32,1000000,0.5257492875414552,32.0,10000,COMPLETE
3,-382.0,2024-07-27 05:29:50.182738,2024-07-27 06:05:21.343760,0 days 00:35:31.161022,64,1000000,0.6478428976322228,64.0,5000,COMPLETE
4,-736.6666870117188,2024-07-27 06:05:21.344651,2024-07-27 06:41:08.585144,0 days 00:35:47.240493,64,1000000,0.5628702954130727,128.0,10000,COMPLETE
5,,2024-07-27 18:42:41.450166,2024-07-27 18:42:41.451085,0 days 00:00:00.000919,32,1000000,0.5144137934108897,,10000,FAIL
6,,2024-07-27 18:43:12.762698,2024-07-27 18:43:12.763476,0 days 00:00:00.000778,32,500000,0.6582752137700452,128.0,5000,FAIL
7,-815.5,2024-07-27 18:43:42.647274,2024-07-27 19:20:10.705699,0 days 00:36:28.058425,64,1000000,0.6838573178541161,32.0,5000,COMPLETE
8,-1897.8333740234375,2024-07-27 19:20:10.724191,2024-07-27 19:55:29.084950,0 days 00:35:18.360759,64,1000000,0.527167820611655,128.0,10000,COMPLETE
9,-135.5,2024-07-27 19:55:29.092559,2024-07-27 20:29:08.116362,0 days 00:33:39.023803,64,500000,0.4276527761812984,32.0,5000,COMPLETE
10,-284.1666564941406,2024-07-27 20:29:08.118313,2024-07-27 21:04:13.182516,0 days 00:35:05.064203,64,500000,0.6357503341849172,32.0,1000,COMPLETE
11,-252.3333282470703,2024-07-27 21:04:13.184957,2024-07-27 21:40:33.018827,0 days 00:36:19.833870,64,500000,0.7296367498882546,64.0,5000,COMPLETE
12,-178.5,2024-07-27 22:10:59.881455,2024-07-27 22:45:56.372069,0 days 00:34:56.490614,32,500000,0.4041114496287315,32.0,1000,COMPLETE
13,-325.1666564941406,2024-07-27 22:45:56.374929,2024-07-27 23:19:31.231529,0 days 00:33:34.856600,32,500000,0.425247591213198,32.0,1000,COMPLETE
14,-351.5,2024-07-27 23:19:31.233816,2024-07-27 23:52:36.559643,0 days 00:33:05.325827,32,500000,0.4010106492890487,32.0,1000,COMPLETE
15,-235.3333282470703,2024-07-27 23:52:36.562617,2024-07-28 00:26:39.011866,0 days 00:34:02.449249,32,500000,0.44626457931672464,32.0,1000,COMPLETE
16,-4000.666748046875,2024-07-28 00:26:39.014164,2024-07-28 01:01:38.000744,0 days 00:34:58.986580,32,500000,0.4643547294891628,128.0,5000,COMPLETE
17,,2024-07-28 01:39:28.355317,2024-07-28 01:40:43.877090,0 days 00:01:15.521773,32,500000,0.4010278085583469,32.0,1000,FAIL
18,-268.8333435058594,2024-07-28 01:41:52.032592,2024-07-28 02:16:04.613718,0 days 00:34:12.581126,32,500000,0.4675793255566344,32.0,1000,COMPLETE
19,-187.1666717529297,2024-07-28 02:16:04.616483,2024-07-28 02:49:34.699163,0 days 00:33:30.082680,32,500000,0.4100316443528934,32.0,1000,COMPLETE
20,-271.0,2024-07-28 02:49:34.701859,2024-07-28 03:24:36.087130,0 days 00:35:01.385271,32,500000,0.5705651650228898,32.0,5000,COMPLETE
21,-398.1666564941406,2024-07-28 03:28:11.568941,2024-07-28 04:04:58.423683,0 days 00:36:46.854742,32,500000,0.4471287736408923,128.0,1000,COMPLETE
22,-278.5,2024-07-28 04:04:58.426432,2024-07-28 04:39:53.494747,0 days 00:34:55.068315,64,500000,0.48387150510169175,64.0,5000,COMPLETE
